,Zod_sign_man,Zod_sign_woman
1254,Cancer,Virgo
1256,Taurus,Aquarius
1257,Aquarius,Aries
1258,Virgo,Cancer
1259,Taurus,Gemini
1260,Taurus,Aries
1261,Cancer,Virgo
1262,Capricorn,Aries
1263,Libra,Cancer
1264,Scorpio,Sagittarius
1266,Libra,Aquarius
1267,Libra,Cancer
1268,Taurus,Capricorn
1270,Capricorn,Aries
1271,Taurus,Pisces
1272,Libra,Pisces
1274,Taurus,Virgo
1275,Scorpio,Aquarius
1277,Scorpio,Sagittarius
1278,Pisces,Pisces
1279,Virgo,Virgo
1280,Sagittarius,Gemini
1281,Aries,Aquarius
1282,Libra,Leo
1283,Virgo,Aquarius
1284,Virgo,Gemini
1285,Sagittarius,Taurus
1286,Gemini,Scorpio
1287,Sagittarius,Aquarius
1288,Pisces,Pisces
1289,Aries,Taurus
1290,Aries,Gemini
1291,Pisces,Capricorn
1292,Virgo,Sagittarius
1293,Capricorn,Leo
1294,Capricorn,Cancer
1295,Sagittarius,Taurus
1296,Pisces,Gemini
1299,Scorpio,Aries
1301,Libra,Libra
1302,Virgo,Libra
1303,Aries,Taurus
1304,Taurus,Cancer
1305,Cancer,Sagittarius
1306,Scorpio,Virgo
1307,Capricorn,Sagittarius
1308,Pisces,Cancer
1311,Taurus,Leo
1312,Pisces,Libra
1313,Virgo,Capricorn
1314,Libra,Cancer
1315,Aries,Gemini
1316,Aries,Gemini
1317,Aquarius,Leo
1318,Capricorn,Virgo
1320,Gemini,Gemini
1322,Leo,Taurus
1323,Capricorn,Leo
1324,Pisces,Capricorn
1325,Cancer,Capricorn
1326,Taurus,Pisces
1327,Leo,Pisces
1328,Taurus,Aquarius
1329,Libra,Scorpio
1330,Libra,Cancer
1332,Sagittarius,Sagittarius
1333,Pisces,Scorpio
1335,Leo,Sagittarius
1336,Gemini,Scorpio
1337,Aquarius,Aquarius
1338,Aquarius,Gemini
1339,Cancer,Libra
1340,Sagittarius,Sagittarius
1341,Aries,Aquarius
1342,Pisces,Capricorn
1343,Pisces,Virgo
1344,Taurus,Aries
1347,Virgo,Aquarius
1348,Pisces,Capricorn
1349,Sagittarius,Aries
1350,Cancer,Libra
1351,Libra,Gemini
1352,Taurus,Virgo
1353,Libra,Capricorn
1354,Libra,Cancer
1355,Gemini,Virgo
1357,Pisces,Gemini
1358,Cancer,Leo
1359,Gemini,Leo
1360,Taurus,Capricorn
1361,Sagittarius,Pisces
1362,Cancer,Aquarius
1363,Virgo,Aries
1364,Aquarius,Aquarius
1365,Aquarius,Aquarius
1366,Scorpio,Aries
1367,Libra,Gemini
1368,Scorpio,Gemini
1369,Leo,Pisces
1370,Aries,Sagittarius
1371,Pisces,Libra
1372,Leo,Leo
1373,Capricorn,Gemini
1374,Virgo,Sagittarius
1375,Libra,Libra
1376,Scorpio,Scorpio
1377,Taurus,Capricorn
1378,Aquarius,Taurus
1379,Libra,Virgo
1380,Libra,Capricorn
1381,Capricorn,Pisces
1383,Scorpio,Scorpio
1385,Virgo,Aries
1386,Sagittarius,Libra
1387,Scorpio,Libra
1388,Leo,Capricorn
1389,Scorpio,Libra
1390,Sagittarius,Capricorn
1391,Capricorn,Capricorn
1392,Scorpio,Gemini
1393,Aries,Leo
1394,Capricorn,Aquarius
1395,Aries,Gemini
1396,Cancer,Sagittarius
1397,Leo,Libra
1398,Virgo,Aries
1399,Gemini,Leo
1400,Cancer,Virgo
1401,Capricorn,Aquarius
1402,Leo,Scorpio
1403,Gemini,Aquarius
1404,Aquarius,Leo
1405,Virgo,Pisces
1406,Virgo,Aries
1407,Pisces,Cancer
1408,Scorpio,Aquarius
1409,Aquarius,Scorpio
1410,Gemini,Taurus
1411,Pisces,Capricorn
1412,Leo,Aquarius
1413,Aries,Virgo
1414,Scorpio,Capricorn
1415,Gemini,Aquarius
1416,Taurus,Sagittarius
1417,Libra,Taurus
1418,Aries,Leo
1420,Gemini,Taurus
1422,Pisces,Aries
1423,Scorpio,Libra
1424,Pisces,Aries
1425,Scorpio,Libra
1426,Taurus,Pisces
1427,Aquarius,Libra
1428,Capricorn,Aquarius
1429,Cancer,Aquarius
1430,Virgo,Libra
1431,Taurus,Pisces
1432,Capricorn,Sagittarius
1433,Aries,Capricorn
1434,Aries,Aries
1435,Libra,Aries
1436,Cancer,Sagittarius
1438,Capricorn,Aries
1439,Leo,Taurus
1440,Cancer,Aquarius
1441,Aquarius,Taurus
1442,Capricorn,Scorpio
1443,Aquarius,Taurus
1444,Gemini,Aquarius
1445,Sagittarius,Leo
1446,Aries,Sagittarius
1447,Pisces,Sagittarius
1448,Aquarius,Taurus
1449,Capricorn,Aquarius
1450,Leo,Taurus
1451,Virgo,Aquarius
1452,Cancer,Cancer
1453,Sagittarius,Aries
1454,Virgo,Cancer
1455,Cancer,Gemini
1456,Cancer,Leo
1457,Aquarius,Scorpio
1458,Cancer,Sagittarius
1459,Virgo,Pisces
1460,Cancer,Sagittarius
1461,Aquarius,Scorpio
1462,Taurus,Scorpio
1463,Aries,Libra
1464,Virgo,Libra
1465,Aries,Leo
1468,Taurus,Aries
1469,Taurus,Pisces
1470,Cancer,Sagittarius
1471,Pisces,Taurus
1472,Aries,Aquarius
1473,Leo,Libra
1474,Leo,Cancer
1475,Libra,Pisces
1476,Libra,Aquarius
1477,Libra,Aries
1478,Taurus,Libra
1479,Gemini,Leo
1480,Leo,Aquarius
1481,Aquarius,Cancer
1483,Libra,Virgo
1484,Cancer,Virgo
1486,Gemini,Libra
1487,Virgo,Sagittarius
1488,Gemini,Aries
1489,Libra,Aquarius
1491,Capricorn,Scorpio
1492,Cancer,Scorpio
1493,Libra,Cancer
1494,Taurus,Sagittarius
1495,Virgo,Scorpio
1496,Virgo,Virgo
1497,Scorpio,Leo
1498,Capricorn,Gemini
1499,Capricorn,Aquarius
1500,Gemini,Capricorn
1503,Aries,Libra
1504,Leo,Cancer
1505,Leo,Virgo
1506,Scorpio,Taurus
1507,Aquarius,Scorpio
1508,Sagittarius,Gemini
1509,Aquarius,Taurus
1510,Pisces,Aries
1512,Capricorn,Libra
1513,Taurus,Cancer
1514,Virgo,Capricorn
1516,Sagittarius,Virgo
1517,Libra,Sagittarius
1518,Taurus,Sagittarius
1519,Pisces,Aries
1520,Capricorn,Capricorn
1521,Sagittarius,Aries
1522,Cancer,Pisces
1523,Pisces,Leo
1524,Cancer,Scorpio
1525,Gemini,Gemini
1526,Taurus,Libra
1527,Capricorn,Taurus
1528,Aries,Gemini
1529,Pisces,Sagittarius
1530,Capricorn,Gemini
1531,Gemini,Virgo
1532,Cancer,Libra
1533,Cancer,Virgo
1534,Virgo,Libra
1535,Capricorn,Aquarius
1536,Taurus,Virgo
1538,Leo,Taurus
1539,Taurus,Libra
1541,Virgo,Aquarius
1542,Scorpio,Aries
1543,Cancer,Cancer
1544,Scorpio,Aries
1545,Taurus,Virgo
1546,Libra,Sagittarius
1547,Gemini,Cancer
1548,Virgo,Taurus
1549,Leo,Taurus
1550,Scorpio,Libra
1551,Leo,Virgo
1552,Taurus,Cancer
1553,Leo,Sagittarius
1554,Libra,Virgo
1555,Capricorn,Taurus
1556,Leo,Sagittarius
1557,Cancer,Cancer
1558,Sagittarius,Libra
1559,Sagittarius,Aquarius
1560,Cancer,Virgo
1561,Sagittarius,Sagittarius
1562,Aries,Cancer
1563,Capricorn,Virgo
1564,Aquarius,Virgo
1565,Cancer,Capricorn
1566,Virgo,Taurus
1567,Gemini,Aquarius
1568,Capricorn,Aries
1569,Cancer,Cancer
1570,Taurus,Scorpio
1571,Pisces,Aquarius
1572,Scorpio,Sagittarius
1573,Virgo,Taurus
1574,Scorpio,Scorpio
1575,Cancer,Virgo
1576,Cancer,Aries
1578,Pisces,Taurus
1579,Libra,Cancer
1580,Aries,Libra
1581,Leo,Scorpio
1582,Virgo,Aries
1583,Scorpio,Pisces
1584,Taurus,Gemini
1586,Taurus,Libra
1587,Aries,Sagittarius
1588,Cancer,Aries
1589,Sagittarius,Libra
1591,Aries,Aries
1592,Aries,Gemini
1594,Scorpio,Aquarius
1595,Sagittarius,Leo
1597,Cancer,Aquarius
1598,Gemini,Taurus
1599,Virgo,Pisces
1600,Libra,Aquarius
1601,Sagittarius,Capricorn
1602,Capricorn,Capricorn
1603,Taurus,Sagittarius
1604,Capricorn,Pisces
1605,Aries,Leo
1606,Cancer,Capricorn
1607,Scorpio,Leo
1608,Leo,Aries
1609,Virgo,Libra
1610,Capricorn,Capricorn
1611,Virgo,Taurus
1612,Taurus,Pisces
1613,Gemini,Aries
1614,Scorpio,Virgo
1616,Virgo,Taurus
1617,Pisces,Aquarius
1618,Libra,Aries
1619,Cancer,Leo
1620,Aries,Scorpio
1621,Pisces,Capricorn
1622,Cancer,Capricorn
1623,Cancer,Aries
1624,Cancer,Virgo
1625,Libra,Libra
1626,Capricorn,Taurus
1627,Libra,Cancer
1628,Cancer,Virgo
1629,Virgo,Cancer
1631,Pisces,Sagittarius
1632,Gemini,Sagittarius
1633,Virgo,Aquarius
1634,Gemini,Capricorn
1635,Aries,Cancer
1636,Virgo,Virgo
1637,Leo,Sagittarius
1638,Cancer,Leo
1639,Taurus,Aries
1640,Aquarius,Aquarius
1641,Leo,Libra
1642,Pisces,Virgo
1643,Leo,Libra
1644,Cancer,Pisces
1645,Sagittarius,Cancer
1646,Libra,Gemini
1647,Cancer,Libra
1648,Sagittarius,Capricorn
1649,Gemini,Capricorn
1650,Virgo,Virgo
1651,Libra,Leo
1652,Taurus,Aries
1653,Cancer,Aries
1654,Pisces,Sagittarius
1655,Capricorn,Gemini
1656,Pisces,Scorpio
1657,Cancer,Scorpio
1658,Taurus,Scorpio
1659,Sagittarius,Scorpio
1661,Taurus,Libra
1662,Scorpio,Scorpio
1663,Capricorn,Gemini
1664,Sagittarius,Capricorn
1665,Pisces,Leo
1666,Gemini,Taurus
1667,Aries,Taurus
1668,Scorpio,Capricorn
1669,Cancer,Sagittarius
1670,Cancer,Aries
1671,Scorpio,Scorpio
1672,Virgo,Aries
1673,Pisces,Capricorn
1675,Libra,Capricorn
1677,Libra,Pisces
1678,Aquarius,Aquarius
1679,Pisces,Scorpio
1680,Gemini,Capricorn
1681,Capricorn,Libra
1683,Gemini,Aries
1684,Pisces,Aries
1685,Gemini,Taurus
1686,Taurus,Leo
1687,Libra,Aquarius
1688,Taurus,Aquarius
1689,Gemini,Libra
1690,Pisces,Aries
1692,Sagittarius,Cancer
1693,Scorpio,Pisces
1694,Aquarius,Leo
1695,Libra,Pisces
1696,Taurus,Taurus
1697,Virgo,Gemini
1699,Libra,Aquarius
1700,Aries,Virgo
1701,Aries,Aquarius
1703,Sagittarius,Pisces
1704,Scorpio,Gemini
1705,Gemini,Libra
1706,Virgo,Pisces
1709,Capricorn,Scorpio
1710,Gemini,Gemini
1711,Taurus,Cancer
1712,Sagittarius,Cancer
1713,Pisces,Libra
1714,Sagittarius,Virgo
1715,Pisces,Capricorn
1716,Virgo,Sagittarius
1717,Libra,Pisces
1718,Aries,Libra
1719,Libra,Cancer
1720,Libra,Pisces
1721,Sagittarius,Pisces
1722,Pisces,Capricorn
1723,Aries,Aquarius
1724,Scorpio,Taurus
1725,Aries,Libra
1726,Pisces,Pisces
1727,Scorpio,Taurus
1728,Pisces,Leo
1729,Libra,Scorpio
1730,Gemini,Cancer
1731,Leo,Capricorn
1732,Cancer,Libra
1733,Libra,Virgo
1734,Aries,Sagittarius
1735,Scorpio,Scorpio
1736,Pisces,Pisces
1738,Sagittarius,Cancer
1739,Aries,Pisces
1740,Scorpio,Sagittarius
1741,Sagittarius,Libra
1742,Aquarius,Aries
1743,Sagittarius,Sagittarius
1744,Pisces,Scorpio
1745,Aquarius,Taurus
1746,Leo,Aquarius
1747,Scorpio,Aquarius
1748,Virgo,Sagittarius
1750,Taurus,Aquarius
1751,Gemini,Libra
1752,Taurus,Aries
1754,Libra,Virgo
1755,Gemini,Virgo
1756,Pisces,Aries
1757,Scorpio,Sagittarius
1759,Virgo,Leo
1760,Libra,Taurus
1761,Capricorn,Sagittarius
1762,Taurus,Scorpio
1763,Pisces,Libra
1764,Aquarius,Scorpio
1765,Aquarius,Virgo
1766,Aries,Pisces
1767,Sagittarius,Leo
1768,Libra,Aquarius
1769,Virgo,Pisces
1770,Virgo,Leo
1771,Pisces,Aquarius
1772,Taurus,Capricorn
1773,Libra,Gemini
1775,Libra,Libra
1777,Sagittarius,Scorpio
1778,Leo,Sagittarius
1779,Pisces,Cancer
1780,Scorpio,Aries
1781,Capricorn,Aries
1782,Scorpio,Capricorn
1783,Aries,Scorpio
1784,Scorpio,Aquarius
1785,Libra,Taurus
1786,Aries,Leo
1787,Sagittarius,Aquarius
1789,Aries,Gemini
1790,Taurus,Aries
1791,Capricorn,Aquarius
1792,Virgo,Aquarius
1793,Libra,Aquarius
1794,Sagittarius,Cancer
1795,Cancer,Libra
1797,Scorpio,Virgo
1799,Sagittarius,Aquarius
1800,Aries,Taurus
1802,Aries,Sagittarius
1804,Libra,Capricorn
1805,Virgo,Pisces
1806,Leo,Capricorn
1807,Leo,Cancer
1808,Virgo,Scorpio
1809,Pisces,Pisces
1810,Sagittarius,Libra
1811,Taurus,Scorpio
1812,Capricorn,Pisces
1813,Libra,Gemini
1814,Capricorn,Taurus
1817,Pisces,Aquarius
1818,Leo,Virgo
1820,Pisces,Virgo
1821,Leo,Sagittarius
1822,Leo,Leo
1823,Taurus,Cancer
1824,Scorpio,Cancer
1825,Taurus,Scorpio
1826,Sagittarius,Taurus
1830,Capricorn,Sagittarius
1831,Virgo,Cancer
1832,Aquarius,Scorpio
1833,Taurus,Gemini
1834,Leo,Scorpio
1836,Capricorn,Leo
1837,Cancer,Aries
1838,Aquarius,Sagittarius
1839,Gemini,Pisces
1840,Aries,Cancer
1842,Capricorn,Sagittarius
1843,Leo,Taurus
1844,Cancer,Aries
1845,Pisces,Virgo
1846,Libra,Virgo
1847,Aquarius,Libra
1848,Sagittarius,Virgo
1849,Taurus,Cancer
1851,Gemini,Libra
1852,Scorpio,Aries
1853,Scorpio,Pisces
1854,Aquarius,Capricorn
1855,Sagittarius,Sagittarius
1856,Scorpio,Aries
1857,Taurus,Aries
1858,Taurus,Capricorn
1859,Sagittarius,Leo
1860,Cancer,Virgo
1861,Taurus,Aries
1862,Pisces,Aries
1863,Pisces,Aquarius
1864,Pisces,Libra
1865,Aries,Leo
1866,Leo,Scorpio
1867,Gemini,Taurus
1868,Libra,Virgo
1869,Pisces,Aries
1870,Cancer,Aquarius
1871,Virgo,Taurus
1872,Aquarius,Leo
1873,Taurus,Sagittarius
1874,Virgo,Scorpio
1875,Aries,Virgo
1876,Leo,Aries
1877,Virgo,Pisces
1879,Scorpio,Leo
1880,Taurus,Taurus
1881,Cancer,Virgo
1882,Gemini,Virgo
1884,Virgo,Pisces
1885,Taurus,Aquarius
1886,Aries,Capricorn
1887,Capricorn,Pisces
1888,Sagittarius,Aquarius
1889,Cancer,Pisces
1890,Cancer,Sagittarius
1891,Virgo,Libra
1892,Virgo,Cancer
1893,Gemini,Taurus
1894,Pisces,Aquarius
1895,Pisces,Pisces
1896,Leo,Taurus
1897,Cancer,Libra
1898,Capricorn,Capricorn
1899,Scorpio,Sagittarius
1900,Virgo,Cancer
1901,Libra,Sagittarius
1902,Scorpio,Pisces
1903,Taurus,Scorpio
1904,Scorpio,Libra
1906,Libra,Aries
1907,Cancer,Capricorn
1908,Aquarius,Taurus
1909,Gemini,Libra
1910,Libra,Pisces
1911,Pisces,Libra
1912,Capricorn,Capricorn
1913,Aquarius,Taurus
1914,Sagittarius,Capricorn
1915,Cancer,Aries
1916,Cancer,Aquarius
1917,Gemini,Leo
1918,Aquarius,Aries
1919,Aquarius,Aries
1920,Libra,Sagittarius
1921,Sagittarius,Aries
1922,Cancer,Gemini
1923,Pisces,Libra
1924,Gemini,Sagittarius
1925,Gemini,Libra
1926,Aquarius,Gemini
1927,Virgo,Aries
1928,Capricorn,Pisces
1929,Libra,Scorpio
1930,Aries,Pisces
1931,Sagittarius,Aries
1932,Capricorn,Aries
1933,Capricorn,Virgo
1934,Aries,Aquarius
1935,Scorpio,Capricorn
1936,Gemini,Virgo
1937,Capricorn,Aries
1939,Sagittarius,Gemini
1940,Taurus,Libra
1941,Aries,Taurus
1942,Virgo,Pisces
1943,Capricorn,Virgo
1944,Pisces,Taurus
1945,Sagittarius,Libra
1946,Aquarius,Virgo
1947,Capricorn,Sagittarius
1949,Leo,Gemini
1950,Capricorn,Aquarius
1951,Taurus,Libra
1953,Cancer,Scorpio
1954,Virgo,Aries
1955,Scorpio,Aries
1956,Libra,Aries
1957,Gemini,Libra
1958,Virgo,Taurus
1959,Gemini,Leo
1960,Cancer,Libra
1961,Sagittarius,Capricorn
1962,Taurus,Virgo
1963,Taurus,Aquarius
1964,Leo,Taurus
1966,Virgo,Scorpio
1970,Gemini,Libra
1971,Virgo,Libra
1972,Gemini,Virgo
1973,Pisces,Taurus
1974,Capricorn,Capricorn
1975,Cancer,Scorpio
1976,Taurus,Aries
1977,Leo,Aquarius
1978,Gemini,Pisces
1983,Capricorn,Leo
1984,Leo,Pisces
1985,Scorpio,Virgo
1986,Taurus,Sagittarius
1987,Virgo,Virgo
1988,Taurus,Gemini
1989,Aquarius,Gemini
1990,Taurus,Gemini
1991,Taurus,Taurus
1992,Cancer,Virgo
1993,Capricorn,Virgo
1994,Gemini,Sagittarius
1995,Capricorn,Virgo
1996,Taurus,Taurus
1997,Taurus,Pisces
1998,Virgo,Gemini
1999,Taurus,Sagittarius
2000,Scorpio,Aquarius
2001,Sagittarius,Libra
2002,Scorpio,Libra
2003,Aquarius,Sagittarius
2004,Leo,Sagittarius
2005,Taurus,Leo
2006,Virgo,Pisces
2008,Leo,Aries
2009,Scorpio,Libra
2010,Cancer,Sagittarius
2011,Libra,Virgo
2012,Aries,Capricorn
2014,Virgo,Pisces
2015,Aries,Capricorn
2016,Libra,Libra
2017,Aries,Scorpio
2018,Capricorn,Scorpio
2019,Gemini,Libra
2020,Virgo,Cancer
2021,Aries,Libra
2022,Pisces,Pisces
2023,Gemini,Aries
2025,Cancer,Aries
2026,Taurus,Gemini
2027,Taurus,Cancer
2028,Taurus,Aquarius
2029,Libra,Pisces
2030,Cancer,Gemini
2031,Gemini,Scorpio
2032,Pisces,Scorpio
2033,Capricorn,Gemini
2034,Virgo,Taurus
2035,Sagittarius,Sagittarius
2036,Sagittarius,Gemini
2037,Pisces,Aquarius
2038,Aries,Aries
2039,Sagittarius,Sagittarius
2040,Capricorn,Taurus
2041,Taurus,Sagittarius
2042,Leo,Gemini
2043,Gemini,Scorpio
2044,Cancer,Aries
2045,Capricorn,Virgo
2046,Leo,Aries
2048,Sagittarius,Sagittarius
2049,Leo,Scorpio
2051,Aquarius,Sagittarius
2052,Libra,Gemini
2053,Cancer,Capricorn
2054,Cancer,Taurus
2055,Virgo,Virgo
2056,Aquarius,Aries
2057,Taurus,Sagittarius
2058,Sagittarius,Scorpio
2059,Sagittarius,Virgo
2060,Capricorn,Gemini
2061,Cancer,Cancer
2062,Gemini,Libra
2063,Sagittarius,Sagittarius
2065,Sagittarius,Capricorn
2067,Capricorn,Taurus
2068,Cancer,Gemini
2070,Taurus,Virgo
2073,Leo,Pisces
2074,Libra,Pisces
2075,Virgo,Libra
2076,Libra,Aquarius
2077,Sagittarius,Virgo
2078,Taurus,Gemini
2079,Leo,Aries
2080,Capricorn,Cancer
2081,Sagittarius,Sagittarius
2082,Leo,Taurus
2083,Libra,Pisces
2084,Scorpio,Taurus
2085,Capricorn,Capricorn
2086,Aries,Aquarius
2087,Capricorn,Capricorn
2088,Capricorn,Leo
2089,Scorpio,Pisces
2090,Sagittarius,Aquarius
2092,Leo,Leo
2093,Virgo,Sagittarius
2094,Cancer,Gemini
2095,Gemini,Cancer
2096,Taurus,Cancer
2097,Virgo,Gemini
2098,Virgo,Scorpio
2099,Aquarius,Sagittarius
2100,Aries,Leo
2101,Gemini,Virgo
2102,Aries,Sagittarius
2103,Leo,Aries
2105,Aquarius,Libra
2108,Pisces,Sagittarius
2110,Capricorn,Gemini
2111,Pisces,Aquarius
2112,Cancer,Pisces
2113,Cancer,Virgo
2114,Cancer,Cancer
2116,Capricorn,Gemini
2117,Libra,Scorpio
2118,Cancer,Libra
2119,Leo,Aquarius
2120,Cancer,Leo
2121,Virgo,Leo
2122,Gemini,Leo
2123,Sagittarius,Virgo
2124,Pisces,Gemini
2125,Capricorn,Leo
2126,Pisces,Gemini
2127,Virgo,Taurus
2128,Libra,Virgo
2129,Gemini,Leo
2130,Aries,Libra
2131,Capricorn,Aries
2132,Aquarius,Pisces
2134,Pisces,Leo
2135,Cancer,Sagittarius
2136,Aries,Libra
2137,Leo,Gemini
2138,Virgo,Gemini
2139,Cancer,Capricorn
2140,Leo,Gemini
2141,Libra,Pisces
2142,Gemini,Gemini
2143,Taurus,Libra
2144,Sagittarius,Capricorn
2146,Taurus,Scorpio
2148,Leo,Scorpio
2149,Sagittarius,Libra
2150,Scorpio,Libra
2151,Capricorn,Leo
2152,Scorpio,Gemini
2153,Aquarius,Scorpio
2155,Taurus,Aries
2156,Cancer,Aquarius
2157,Aquarius,Aquarius
2158,Capricorn,Capricorn
2159,Sagittarius,Sagittarius
2160,Sagittarius,Gemini
2161,Pisces,Leo
2162,Capricorn,Cancer
2163,Capricorn,Gemini
2165,Sagittarius,Libra
2166,Capricorn,Capricorn
2167,Pisces,Pisces
2172,Libra,Libra
2173,Gemini,Virgo
2174,Cancer,Taurus
2175,Gemini,Pisces
2176,Cancer,Virgo
2177,Scorpio,Pisces
2178,Gemini,Taurus
2179,Pisces,Sagittarius
2180,Sagittarius,Pisces
2181,Virgo,Cancer
2182,Sagittarius,Aquarius
2183,Aquarius,Cancer
2186,Virgo,Libra
2187,Sagittarius,Aries
2188,Aquarius,Pisces
2189,Sagittarius,Sagittarius
2190,Sagittarius,Cancer
2191,Taurus,Cancer
2192,Virgo,Gemini
2193,Aries,Leo
2194,Taurus,Libra
2195,Pisces,Virgo
2197,Taurus,Aquarius
2198,Capricorn,Aries
2199,Cancer,Virgo
2200,Virgo,Sagittarius
2201,Scorpio,Capricorn
2202,Aries,Virgo
2203,Taurus,Leo
2204,Gemini,Leo
2205,Cancer,Cancer
2206,Libra,Gemini
2207,Leo,Gemini
2208,Sagittarius,Aries
2209,Sagittarius,Libra
2211,Pisces,Scorpio
2212,Sagittarius,Aquarius
2213,Leo,Capricorn
2214,Libra,Leo
2215,Aries,Aquarius
2216,Scorpio,Gemini
2217,Sagittarius,Cancer
2218,Virgo,Cancer
2219,Capricorn,Gemini
2220,Aquarius,Capricorn
2221,Sagittarius,Virgo
2222,Aries,Capricorn
2223,Leo,Sagittarius
2224,Gemini,Gemini
2225,Scorpio,Sagittarius
2226,Taurus,Libra
2227,Sagittarius,Taurus
2228,Scorpio,Taurus
2230,Libra,Virgo
2231,Pisces,Taurus
2232,Capricorn,Sagittarius
2233,Libra,Gemini
2234,Capricorn,Aries
2235,Aquarius,Libra
2236,Scorpio,Sagittarius
2237,Scorpio,Libra
2238,Capricorn,Virgo
2239,Pisces,Leo
2240,Libra,Libra
2241,Gemini,Aquarius
2242,Scorpio,Capricorn
2243,Pisces,Leo
2244,Cancer,Aquarius
2245,Aries,Taurus
2246,Aries,Taurus
2247,Pisces,Cancer
2248,Libra,Libra
2249,Libra,Leo
2250,Libra,Scorpio
2251,Aries,Gemini
2252,Aquarius,Leo
2253,Gemini,Virgo
2254,Pisces,Aquarius
2255,Sagittarius,Taurus
2256,Leo,Cancer
2257,Taurus,Virgo
2258,Aquarius,Virgo
2259,Taurus,Scorpio
2260,Leo,Taurus
2261,Taurus,Scorpio
2262,Taurus,Virgo
2263,Cancer,Cancer
2264,Libra,Taurus
2265,Libra,Sagittarius
2266,Cancer,Pisces
2268,Gemini,Leo
2269,Gemini,Scorpio
2271,Pisces,Sagittarius
2272,Pisces,Aquarius
2273,Capricorn,Leo
2274,Gemini,Aquarius
2276,Aquarius,Libra
2277,Libra,Gemini
2278,Gemini,Scorpio
2279,Gemini,Libra
2280,Taurus,Leo
2281,Scorpio,Leo
2282,Aries,Aquarius
2283,Taurus,Gemini
2284,Aquarius,Aries
2285,Cancer,Virgo
2286,Aquarius,Scorpio
2287,Leo,Capricorn
2288,Cancer,Scorpio
2289,Pisces,Leo
2290,Taurus,Libra
2291,Capricorn,Scorpio
2293,Virgo,Scorpio
2294,Cancer,Aquarius
2295,Virgo,Gemini
2296,Libra,Libra
2298,Capricorn,Aquarius
2301,Cancer,Pisces
2302,Virgo,Pisces
2304,Cancer,Taurus
2305,Pisces,Gemini
2307,Pisces,Capricorn
2308,Cancer,Pisces
2309,Virgo,Aries
2310,Aries,Gemini
2311,Capricorn,Aries
2312,Sagittarius,Libra
2313,Scorpio,Taurus
2315,Gemini,Cancer
2318,Aries,Leo
2319,Virgo,Scorpio
2320,Aries,Cancer
2321,Libra,Taurus
2322,Aquarius,Gemini
2324,Aries,Scorpio
2325,Aquarius,Taurus
2326,Scorpio,Aquarius
2329,Pisces,Leo
2330,Leo,Taurus
2331,Pisces,Gemini
2332,Sagittarius,Libra
2333,Libra,Cancer
2334,Scorpio,Capricorn
2335,Leo,Cancer
2336,Libra,Virgo
2337,Taurus,Gemini
2339,Taurus,Gemini
2340,Aquarius,Leo
2341,Aquarius,Virgo
2342,Virgo,Sagittarius
2343,Virgo,Virgo
2344,Gemini,Gemini
2345,Aries,Aquarius
2346,Taurus,Capricorn
2347,Cancer,Cancer
2348,Pisces,Libra
2349,Capricorn,Aries
2350,Taurus,Leo
2351,Gemini,Libra
2352,Gemini,Scorpio
2353,Scorpio,Libra
2354,Libra,Sagittarius
2355,Sagittarius,Sagittarius
2356,Cancer,Scorpio
2357,Cancer,Leo
2358,Taurus,Libra
2359,Aries,Sagittarius
2360,Pisces,Libra
2361,Gemini,Aquarius
2362,Scorpio,Libra
2363,Gemini,Taurus
2364,Gemini,Virgo
2366,Capricorn,Sagittarius
2367,Gemini,Cancer
2368,Gemini,Aries
2369,Pisces,Libra
2370,Virgo,Leo
2371,Virgo,Virgo
2372,Cancer,Sagittarius
2373,Aquarius,Aquarius
2374,Aries,Libra
2375,Aquarius,Leo
2376,Cancer,Leo
2377,Taurus,Cancer
2378,Pisces,Virgo
2379,Cancer,Scorpio
2380,Scorpio,Leo
2381,Aquarius,Taurus
2384,Leo,Taurus
2385,Taurus,Aries
2386,Scorpio,Pisces
2387,Sagittarius,Libra
2388,Sagittarius,Capricorn
2389,Pisces,Capricorn
2390,Cancer,Cancer
2391,Capricorn,Cancer
2392,Capricorn,Scorpio
2394,Aquarius,Leo
2395,Virgo,Scorpio
2396,Sagittarius,Aquarius
2397,Aquarius,Pisces
2398,Aries,Pisces
2399,Aries,Aquarius
2400,Libra,Scorpio
2401,Scorpio,Virgo
2403,Cancer,Pisces
2404,Libra,Pisces
2405,Gemini,Libra
2406,Capricorn,Gemini
2407,Capricorn,Aquarius
2408,Libra,Sagittarius
2409,Cancer,Aquarius
2410,Taurus,Gemini
2411,Capricorn,Libra
2413,Cancer,Aquarius
2415,Aries,Pisces
2416,Pisces,Sagittarius
2417,Libra,Taurus
2419,Gemini,Aries
2420,Pisces,Scorpio
2421,Pisces,Capricorn
2422,Cancer,Scorpio
2423,Virgo,Aquarius
2424,Pisces,Gemini
2426,Cancer,Taurus
2427,Aries,Virgo
2428,Aries,Capricorn
2429,Scorpio,Aquarius
2430,Leo,Cancer
2432,Aries,Cancer
2433,Pisces,Scorpio
2434,Leo,Capricorn
2436,Sagittarius,Sagittarius
2437,Virgo,Capricorn
2438,Virgo,Gemini
2439,Leo,Leo
2440,Cancer,Scorpio
2441,Capricorn,Cancer
2442,Sagittarius,Aries
