Zod_sign_man,Zod_sign_woman,zod_combo,Compatibility_rate
Sagittarius,Cancer,SagittariusCancer,0.53
Leo,Aquarius,LeoAquarius,0.69
Scorpio,Sagittarius,ScorpioSagittarius,0.28
Virgo,Aries,VirgoAries,0.63
Aries,Cancer,AriesCancer,0.42
Gemini,Aries,GeminiAries,0.83
Taurus,Pisces,TaurusPisces,0.85
Virgo,Virgo,VirgoVirgo,0.65
Gemini,Sagittarius,GeminiSagittarius,0.6
Aries,Taurus,AriesTaurus,0.38
Gemini,Taurus,GeminiTaurus,0.33
Leo,Aquarius,LeoAquarius,0.69
Virgo,Capricorn,VirgoCapricorn,0.95
Scorpio,Cancer,ScorpioCancer,0.94
Scorpio,Leo,ScorpioLeo,0.58
Pisces,Taurus,PiscesTaurus,0.85
Cancer,Taurus,CancerTaurus,0.97
Sagittarius,Leo,SagittariusLeo,0.93
Capricorn,Taurus,CapricornTaurus,0.98
Aquarius,Pisces,AquariusPisces,0.45
Pisces,Taurus,PiscesTaurus,0.85
Scorpio,Taurus,ScorpioTaurus,0.88
Libra,Virgo,LibraVirgo,0.68
Taurus,Libra,TaurusLibra,0.65
Aries,Aquarius,AriesAquarius,0.78
Taurus,Capricorn,TaurusCapricorn,0.98
Taurus,Taurus,TaurusTaurus,0.58
Aquarius,Cancer,AquariusCancer,0.27
Cancer,Aquarius,CancerAquarius,0.27
Aquarius,Aries,AquariusAries,0.78
Pisces,Leo,PiscesLeo,0.38
Libra,Aries,LibraAries,0.85
Pisces,Pisces,PiscesPisces,0.6
Sagittarius,Aries,SagittariusAries,0.93
Libra,Aquarius,LibraAquarius,0.9
Aquarius,Aries,AquariusAries,0.78
Gemini,Pisces,GeminiPisces,0.53
Libra,Virgo,LibraVirgo,0.68
Leo,Virgo,LeoVirgo,0.35
Libra,Leo,LibraLeo,0.97
Pisces,Taurus,PiscesTaurus,0.85
Cancer,Capricorn,CancerCapricorn,0.83
Gemini,Virgo,GeminiVirgo,0.68
Gemini,Leo,GeminiLeo,0.88
Libra,Libra,LibraLibra,0.75
Pisces,Aries,PiscesAries,0.67
Pisces,Gemini,PiscesGemini,0.53
Capricorn,Scorpio,CapricornScorpio,0.95
Taurus,Libra,TaurusLibra,0.65
Cancer,Leo,CancerLeo,0.35
Virgo,Capricorn,VirgoCapricorn,0.95
Sagittarius,Aries,SagittariusAries,0.93
Pisces,Capricorn,PiscesCapricorn,0.88
Scorpio,Aries,ScorpioAries,0.5
Virgo,Aquarius,VirgoAquarius,0.3
Cancer,Capricorn,CancerCapricorn,0.83
Capricorn,Capricorn,CapricornCapricorn,0.75
Taurus,Aries,TaurusAries,0.38
Aries,Virgo,AriesVirgo,0.63
Scorpio,Cancer,ScorpioCancer,0.94
Taurus,Capricorn,TaurusCapricorn,0.98
Taurus,Leo,TaurusLeo,0.73
Leo,Taurus,LeoTaurus,0.73
Virgo,Aquarius,VirgoAquarius,0.3
Scorpio,Pisces,ScorpioPisces,0.97
Taurus,Scorpio,TaurusScorpio,0.88
Gemini,Virgo,GeminiVirgo,0.68
Aries,Cancer,AriesCancer,0.42
Aquarius,Aquarius,AquariusAquarius,0.45
Aries,Taurus,AriesTaurus,0.38
Capricorn,Leo,CapricornLeo,0.35
Scorpio,Scorpio,ScorpioScorpio,0.8
Capricorn,Cancer,CapricornCancer,0.83
Aquarius,Capricorn,AquariusCapricorn,0.69
Aries,Taurus,AriesTaurus,0.38
Pisces,Sagittarius,PiscesSagittarius,0.63
Gemini,Cancer,GeminiCancer,0.65
Aries,Cancer,AriesCancer,0.42
Libra,Sagittarius,LibraSagittarius,0.73
Sagittarius,Aries,SagittariusAries,0.93
Aquarius,Leo,AquariusLeo,0.68
Sagittarius,Virgo,SagittariusVirgo,0.48
Pisces,Virgo,PiscesVirgo,0.88
Capricorn,Leo,CapricornLeo,0.35
Leo,Leo,LeoLeo,0.45
Aquarius,Aquarius,AquariusAquarius,0.45
Gemini,Cancer,GeminiCancer,0.65
Leo,Scorpio,LeoScorpio,0.58
Leo,Gemini,LeoGemini,0.88
Aries,Gemini,AriesGemini,0.83
Taurus,Virgo,TaurusVirgo,0.9
Capricorn,Sagittarius,CapricornSagittarius,0.6
Aries,Aquarius,AriesAquarius,0.78
Virgo,Scorpio,VirgoScorpio,0.88
Aquarius,Gemini,AquariusGemini,0.85
Leo,Taurus,LeoTaurus,0.73
Cancer,Gemini,CancerGemini,0.65
Aquarius,Scorpio,AquariusScorpio,0.73
Cancer,Cancer,CancerCancer,0.75
Leo,Leo,LeoLeo,0.45
