,Zod_sign_man,Zod_sign_woman,zod_combo,Compatibility_rate,Compatibility
2429,Scorpio,Aquarius,ScorpioAquarius,73%,Good_fit
2430,Leo,Cancer,LeoCancer,35%,Bad_fit
2432,Aries,Cancer,AriesCancer,42%,Bad_fit
2433,Pisces,Scorpio,PiscesScorpio,97%,Good_fit
2434,Leo,Capricorn,LeoCapricorn,35%,Bad_fit
2436,Sagittarius,Sagittarius,SagittariusSagittarius,45%,Bad_fit
2437,Virgo,Capricorn,VirgoCapricorn,95%,Good_fit
2438,Virgo,Gemini,VirgoGemini,68%,Bad_fit
2439,Leo,Leo,LeoLeo,45%,Bad_fit
2440,Cancer,Scorpio,CancerScorpio,94%,Good_fit
2441,Capricorn,Cancer,CapricornCancer,83%,Good_fit
2442,Sagittarius,Aries,SagittariusAries,93%,Good_fit
2443,Aries,Scorpio,AriesScorpio,50%,Bad_fit
2444,Leo,Leo,LeoLeo,45%,Bad_fit
2445,Aries,Aquarius,AriesAquarius,78%,Good_fit
2446,Leo,Pisces,LeoPisces,38%,Bad_fit
2448,Taurus,Gemini,TaurusGemini,33%,Bad_fit
2449,Gemini,Gemini,GeminiGemini,60%,Bad_fit
2451,Scorpio,Aries,ScorpioAries,50%,Bad_fit
2452,Taurus,Virgo,TaurusVirgo,90%,Good_fit
2453,Aquarius,Virgo,AquariusVirgo,30%,Bad_fit
2455,Taurus,Scorpio,TaurusScorpio,88%,Good_fit
2456,Aquarius,Leo,AquariusLeo,68%,Bad_fit
2457,Libra,Aquarius,LibraAquarius,90%,Good_fit
2458,Taurus,Scorpio,TaurusScorpio,88%,Good_fit
2459,Leo,Gemini,LeoGemini,88%,Good_fit
2461,Capricorn,Gemini,CapricornGemini,68%,Bad_fit
2462,Pisces,Virgo,PiscesVirgo,88%,Good_fit
2463,Aries,Taurus,AriesTaurus,38%,Bad_fit
2464,Leo,Aries,LeoAries,97%,Good_fit
2465,Libra,Gemini,LibraGemini,93%,Good_fit
2466,Libra,Pisces,LibraPisces,88%,Good_fit
2467,Virgo,Libra,VirgoLibra,69%,Bad_fit
2468,Leo,Scorpio,LeoScorpio,58%,Bad_fit
2469,Taurus,Capricorn,TaurusCapricorn,98%,Good_fit
2470,Pisces,Cancer,PiscesCancer,98%,Good_fit
2472,Libra,Aquarius,LibraAquarius,90%,Good_fit
2473,Pisces,Virgo,PiscesVirgo,88%,Good_fit
2474,Cancer,Aquarius,CancerAquarius,27%,Bad_fit
2476,Cancer,Cancer,CancerCancer,75%,Good_fit
2477,Cancer,Taurus,CancerTaurus,97%,Good_fit
2478,Virgo,Leo,VirgoLeo,35%,Bad_fit
2479,Pisces,Scorpio,PiscesScorpio,97%,Good_fit
2480,Taurus,Virgo,TaurusVirgo,90%,Good_fit
2481,Scorpio,Sagittarius,ScorpioSagittarius,28%,Bad_fit
2482,Taurus,Libra,TaurusLibra,65%,Bad_fit
2483,Cancer,Libra,CancerLibra,43%,Bad_fit
2484,Aries,Gemini,AriesGemini,83%,Good_fit
2485,Virgo,Leo,VirgoLeo,35%,Bad_fit
2487,Taurus,Libra,TaurusLibra,65%,Bad_fit
2488,Cancer,Aries,CancerAries,42%,Bad_fit
2490,Aries,Leo,AriesLeo,97%,Good_fit
2491,Leo,Gemini,LeoGemini,88%,Good_fit
2492,Aries,Taurus,AriesTaurus,38%,Bad_fit
2493,Libra,Gemini,LibraGemini,93%,Good_fit
2494,Leo,Pisces,LeoPisces,38%,Bad_fit
2495,Libra,Leo,LibraLeo,97%,Good_fit
2496,Leo,Cancer,LeoCancer,35%,Bad_fit
2497,Scorpio,Sagittarius,ScorpioSagittarius,28%,Bad_fit
2498,Leo,Pisces,LeoPisces,38%,Bad_fit
2499,Cancer,Aries,CancerAries,42%,Bad_fit
2500,Gemini,Leo,GeminiLeo,88%,Good_fit
2501,Aquarius,Aquarius,AquariusAquarius,45%,Bad_fit
2502,Cancer,Scorpio,CancerScorpio,94%,Good_fit
2503,Libra,Sagittarius,LibraSagittarius,73%,Good_fit
2504,Aries,Gemini,AriesGemini,83%,Good_fit
2505,Scorpio,Leo,ScorpioLeo,58%,Bad_fit
2506,Leo,Gemini,LeoGemini,88%,Good_fit
2508,Pisces,Taurus,PiscesTaurus,85%,Good_fit
2509,Cancer,Aquarius,CancerAquarius,27%,Bad_fit
2510,Gemini,Sagittarius,GeminiSagittarius,60%,Bad_fit
2511,Sagittarius,Scorpio,SagittariusScorpio,28%,Bad_fit
2512,Cancer,Scorpio,CancerScorpio,94%,Good_fit
2513,Leo,Gemini,LeoGemini,88%,Good_fit
2514,Aries,Aries,AriesAries,50%,Bad_fit
2515,Libra,Leo,LibraLeo,97%,Good_fit
2516,Aquarius,Taurus,AquariusTaurus,58%,Bad_fit
2517,Scorpio,Gemini,ScorpioGemini,28%,Bad_fit
2519,Libra,Pisces,LibraPisces,88%,Good_fit
2520,Sagittarius,Cancer,SagittariusCancer,53%,Bad_fit
2521,Scorpio,Libra,ScorpioLibra,35%,Bad_fit
2522,Aries,Taurus,AriesTaurus,38%,Bad_fit
2523,Sagittarius,Aries,SagittariusAries,93%,Good_fit
2524,Leo,Gemini,LeoGemini,88%,Good_fit
2525,Libra,Capricorn,LibraCapricorn,55%,Bad_fit
2526,Gemini,Gemini,GeminiGemini,60%,Bad_fit
2527,Taurus,Pisces,TaurusPisces,85%,Good_fit
2528,Capricorn,Virgo,CapricornVirgo,95%,Good_fit
2529,Capricorn,Capricorn,CapricornCapricorn,75%,Good_fit
2530,Pisces,Scorpio,PiscesScorpio,97%,Good_fit
2531,Aquarius,Scorpio,AquariusScorpio,73%,Good_fit
2532,Sagittarius,Gemini,SagittariusGemini,60%,Bad_fit
2533,Libra,Cancer,LibraCancer,43%,Bad_fit
2534,Taurus,Aries,TaurusAries,38%,Bad_fit
2536,Scorpio,Libra,ScorpioLibra,35%,Bad_fit
2537,Taurus,Gemini,TaurusGemini,33%,Bad_fit
2538,Taurus,Cancer,TaurusCancer,97%,Good_fit
2539,Capricorn,Gemini,CapricornGemini,68%,Bad_fit
2540,Pisces,Gemini,PiscesGemini,53%,Bad_fit
2541,Pisces,Aries,PiscesAries,67%,Bad_fit
2542,Taurus,Aries,TaurusAries,38%,Bad_fit
2543,Aquarius,Leo,AquariusLeo,68%,Bad_fit
2544,Sagittarius,Gemini,SagittariusGemini,60%,Bad_fit
2545,Leo,Libra,LeoLibra,97%,Good_fit
2546,Aquarius,Gemini,AquariusGemini,85%,Good_fit
2547,Capricorn,Aries,CapricornAries,47%,Bad_fit
2548,Taurus,Taurus,TaurusTaurus,58%,Bad_fit
2550,Virgo,Libra,VirgoLibra,69%,Bad_fit
2551,Virgo,Pisces,VirgoPisces,88%,Good_fit
2552,Virgo,Gemini,VirgoGemini,68%,Bad_fit
2553,Pisces,Gemini,PiscesGemini,53%,Bad_fit
2555,Aquarius,Scorpio,AquariusScorpio,73%,Good_fit
2556,Gemini,Capricorn,GeminiCapricorn,69%,Bad_fit
2557,Leo,Libra,LeoLibra,97%,Good_fit
2558,Cancer,Aquarius,CancerAquarius,27%,Bad_fit
2559,Sagittarius,Gemini,SagittariusGemini,60%,Bad_fit
2560,Leo,Gemini,LeoGemini,88%,Good_fit
2561,Aries,Gemini,AriesGemini,83%,Good_fit
2562,Libra,Sagittarius,LibraSagittarius,73%,Good_fit
2563,Leo,Cancer,LeoCancer,35%,Bad_fit
2564,Sagittarius,Pisces,SagittariusPisces,63%,Bad_fit
2565,Pisces,Libra,PiscesLibra,88%,Good_fit
2566,Scorpio,Libra,ScorpioLibra,35%,Bad_fit
2567,Capricorn,Gemini,CapricornGemini,68%,Bad_fit
2568,Pisces,Gemini,PiscesGemini,53%,Bad_fit
2569,Libra,Gemini,LibraGemini,93%,Good_fit
2570,Leo,Taurus,LeoTaurus,73%,Good_fit
2571,Libra,Pisces,LibraPisces,88%,Good_fit
2572,Cancer,Taurus,CancerTaurus,97%,Good_fit
2573,Pisces,Leo,PiscesLeo,38%,Bad_fit
2575,Virgo,Cancer,VirgoCancer,90%,Good_fit
2576,Aries,Cancer,AriesCancer,42%,Bad_fit
2577,Capricorn,Aries,CapricornAries,47%,Bad_fit
2580,Pisces,Virgo,PiscesVirgo,88%,Good_fit
2581,Taurus,Sagittarius,TaurusSagittarius,30%,Bad_fit
2583,Capricorn,Sagittarius,CapricornSagittarius,60%,Bad_fit
2584,Capricorn,Aquarius,CapricornAquarius,69%,Bad_fit
2585,Capricorn,Leo,CapricornLeo,35%,Bad_fit
2586,Leo,Aries,LeoAries,97%,Good_fit
2587,Pisces,Aries,PiscesAries,67%,Bad_fit
2589,Aquarius,Capricorn,AquariusCapricorn,69%,Bad_fit
2590,Pisces,Aries,PiscesAries,67%,Bad_fit
2592,Sagittarius,Aries,SagittariusAries,93%,Good_fit
2593,Virgo,Gemini,VirgoGemini,68%,Bad_fit
2594,Sagittarius,Cancer,SagittariusCancer,53%,Bad_fit
2595,Gemini,Capricorn,GeminiCapricorn,69%,Bad_fit
2596,Capricorn,Cancer,CapricornCancer,83%,Good_fit
2597,Virgo,Sagittarius,VirgoSagittarius,48%,Bad_fit
2598,Cancer,Scorpio,CancerScorpio,94%,Good_fit
2599,Virgo,Taurus,VirgoTaurus,90%,Good_fit
2600,Taurus,Pisces,TaurusPisces,85%,Good_fit
2601,Virgo,Scorpio,VirgoScorpio,88%,Good_fit
2602,Taurus,Gemini,TaurusGemini,33%,Bad_fit
2605,Taurus,Gemini,TaurusGemini,33%,Bad_fit
2606,Aquarius,Taurus,AquariusTaurus,58%,Bad_fit
2607,Taurus,Libra,TaurusLibra,65%,Bad_fit
2609,Aquarius,Sagittarius,AquariusSagittarius,90%,Good_fit
2610,Cancer,Leo,CancerLeo,35%,Bad_fit
2611,Cancer,Pisces,CancerPisces,98%,Good_fit
2612,Sagittarius,Libra,SagittariusLibra,73%,Good_fit
2613,Scorpio,Sagittarius,ScorpioSagittarius,28%,Bad_fit
2614,Virgo,Pisces,VirgoPisces,88%,Good_fit
2615,Virgo,Leo,VirgoLeo,35%,Bad_fit
2616,Taurus,Leo,TaurusLeo,73%,Good_fit
2617,Aquarius,Libra,AquariusLibra,90%,Good_fit
2618,Gemini,Virgo,GeminiVirgo,68%,Bad_fit
2619,Aries,Libra,AriesLibra,85%,Good_fit
2620,Scorpio,Cancer,ScorpioCancer,94%,Good_fit
2621,Gemini,Capricorn,GeminiCapricorn,69%,Bad_fit
2622,Cancer,Pisces,CancerPisces,98%,Good_fit
2623,Cancer,Virgo,CancerVirgo,90%,Good_fit
2624,Virgo,Gemini,VirgoGemini,68%,Bad_fit
2625,Sagittarius,Leo,SagittariusLeo,93%,Good_fit
2626,Aquarius,Sagittarius,AquariusSagittarius,90%,Good_fit
2627,Capricorn,Capricorn,CapricornCapricorn,75%,Good_fit
2628,Scorpio,Aries,ScorpioAries,50%,Bad_fit
2629,Virgo,Aquarius,VirgoAquarius,30%,Bad_fit
2630,Sagittarius,Scorpio,SagittariusScorpio,28%,Bad_fit
2632,Aries,Taurus,AriesTaurus,38%,Bad_fit
2633,Taurus,Pisces,TaurusPisces,85%,Good_fit
2634,Cancer,Pisces,CancerPisces,98%,Good_fit
2635,Aquarius,Capricorn,AquariusCapricorn,69%,Bad_fit
2636,Scorpio,Virgo,ScorpioVirgo,88%,Good_fit
2640,Gemini,Virgo,GeminiVirgo,68%,Bad_fit
2642,Libra,Scorpio,LibraScorpio,35%,Bad_fit
2643,Virgo,Pisces,VirgoPisces,88%,Good_fit
2644,Libra,Cancer,LibraCancer,43%,Bad_fit
2645,Libra,Cancer,LibraCancer,43%,Bad_fit
2646,Aquarius,Sagittarius,AquariusSagittarius,90%,Good_fit
2647,Aries,Scorpio,AriesScorpio,50%,Bad_fit
2648,Aries,Sagittarius,AriesSagittarius,93%,Good_fit
2649,Pisces,Aquarius,PiscesAquarius,45%,Bad_fit
2650,Leo,Libra,LeoLibra,97%,Good_fit
2651,Taurus,Scorpio,TaurusScorpio,88%,Good_fit
2652,Leo,Leo,LeoLeo,45%,Bad_fit
2653,Scorpio,Scorpio,ScorpioScorpio,80%,Good_fit
2655,Virgo,Gemini,VirgoGemini,68%,Bad_fit
2656,Cancer,Sagittarius,CancerSagittarius,53%,Bad_fit
2657,Scorpio,Virgo,ScorpioVirgo,88%,Good_fit
2658,Virgo,Pisces,VirgoPisces,88%,Good_fit
2659,Sagittarius,Sagittarius,SagittariusSagittarius,45%,Bad_fit
2660,Leo,Sagittarius,LeoSagittarius,93%,Good_fit
2661,Libra,Aries,LibraAries,85%,Good_fit
2662,Cancer,Gemini,CancerGemini,65%,Bad_fit
2663,Cancer,Pisces,CancerPisces,98%,Good_fit
2664,Capricorn,Libra,CapricornLibra,55%,Bad_fit
2665,Scorpio,Capricorn,ScorpioCapricorn,95%,Good_fit
2666,Libra,Taurus,LibraTaurus,65%,Bad_fit
2667,Leo,Aquarius,LeoAquarius,69%,Bad_fit
2668,Capricorn,Aquarius,CapricornAquarius,69%,Bad_fit
2669,Scorpio,Aquarius,ScorpioAquarius,73%,Good_fit
2670,Libra,Aries,LibraAries,85%,Good_fit
2671,Taurus,Libra,TaurusLibra,65%,Bad_fit
2672,Pisces,Scorpio,PiscesScorpio,97%,Good_fit
2673,Gemini,Gemini,GeminiGemini,60%,Bad_fit
2674,Aries,Aries,AriesAries,50%,Bad_fit
2675,Taurus,Pisces,TaurusPisces,85%,Good_fit
2676,Taurus,Cancer,TaurusCancer,97%,Good_fit
2677,Scorpio,Aries,ScorpioAries,50%,Bad_fit
2678,Aquarius,Virgo,AquariusVirgo,30%,Bad_fit
2679,Scorpio,Leo,ScorpioLeo,58%,Bad_fit
2680,Pisces,Pisces,PiscesPisces,60%,Bad_fit
2681,Aries,Pisces,AriesPisces,67%,Bad_fit
2682,Aries,Leo,AriesLeo,97%,Good_fit
2683,Taurus,Sagittarius,TaurusSagittarius,30%,Bad_fit
2684,Sagittarius,Virgo,SagittariusVirgo,48%,Bad_fit
2685,Virgo,Scorpio,VirgoScorpio,88%,Good_fit
2686,Pisces,Libra,PiscesLibra,88%,Good_fit
2687,Sagittarius,Cancer,SagittariusCancer,53%,Bad_fit
2688,Taurus,Taurus,TaurusTaurus,58%,Bad_fit
2689,Virgo,Pisces,VirgoPisces,88%,Good_fit
2692,Cancer,Leo,CancerLeo,35%,Bad_fit
2694,Sagittarius,Taurus,SagittariusTaurus,30%,Bad_fit
2695,Leo,Libra,LeoLibra,97%,Good_fit
2696,Libra,Libra,LibraLibra,75%,Good_fit
2697,Libra,Capricorn,LibraCapricorn,55%,Bad_fit
2698,Sagittarius,Virgo,SagittariusVirgo,48%,Bad_fit
2699,Capricorn,Sagittarius,CapricornSagittarius,60%,Bad_fit
2700,Leo,Virgo,LeoVirgo,35%,Bad_fit
2701,Gemini,Scorpio,GeminiScorpio,28%,Bad_fit
2702,Aquarius,Leo,AquariusLeo,68%,Bad_fit
2703,Taurus,Libra,TaurusLibra,65%,Bad_fit
2704,Taurus,Libra,TaurusLibra,65%,Bad_fit
2705,Virgo,Leo,VirgoLeo,35%,Bad_fit
2706,Virgo,Aquarius,VirgoAquarius,30%,Bad_fit
2707,Sagittarius,Pisces,SagittariusPisces,63%,Bad_fit
2708,Scorpio,Scorpio,ScorpioScorpio,80%,Good_fit
2709,Capricorn,Virgo,CapricornVirgo,95%,Good_fit
2710,Capricorn,Taurus,CapricornTaurus,98%,Good_fit
2711,Aquarius,Cancer,AquariusCancer,27%,Bad_fit
2712,Leo,Virgo,LeoVirgo,35%,Bad_fit
2713,Pisces,Cancer,PiscesCancer,98%,Good_fit
2715,Libra,Taurus,LibraTaurus,65%,Bad_fit
2716,Aries,Pisces,AriesPisces,67%,Bad_fit
2717,Virgo,Cancer,VirgoCancer,90%,Good_fit
2718,Leo,Cancer,LeoCancer,35%,Bad_fit
2719,Sagittarius,Leo,SagittariusLeo,93%,Good_fit
2720,Capricorn,Pisces,CapricornPisces,88%,Good_fit
2721,Sagittarius,Aries,SagittariusAries,93%,Good_fit
2722,Gemini,Cancer,GeminiCancer,65%,Bad_fit
2723,Scorpio,Leo,ScorpioLeo,58%,Bad_fit
2724,Virgo,Virgo,VirgoVirgo,65%,Bad_fit
2725,Libra,Capricorn,LibraCapricorn,55%,Bad_fit
2726,Leo,Aquarius,LeoAquarius,69%,Bad_fit
2727,Gemini,Virgo,GeminiVirgo,68%,Bad_fit
2729,Sagittarius,Taurus,SagittariusTaurus,30%,Bad_fit
2730,Gemini,Leo,GeminiLeo,88%,Good_fit
2731,Scorpio,Aquarius,ScorpioAquarius,73%,Good_fit
2733,Scorpio,Virgo,ScorpioVirgo,88%,Good_fit
2734,Gemini,Cancer,GeminiCancer,65%,Bad_fit
2735,Scorpio,Libra,ScorpioLibra,35%,Bad_fit
2736,Capricorn,Libra,CapricornLibra,55%,Bad_fit
2737,Taurus,Taurus,TaurusTaurus,58%,Bad_fit
2738,Gemini,Aries,GeminiAries,83%,Good_fit
2739,Aquarius,Gemini,AquariusGemini,85%,Good_fit
2740,Libra,Aries,LibraAries,85%,Good_fit
2741,Taurus,Scorpio,TaurusScorpio,88%,Good_fit
2742,Leo,Virgo,LeoVirgo,35%,Bad_fit
2743,Sagittarius,Taurus,SagittariusTaurus,30%,Bad_fit
2744,Sagittarius,Sagittarius,SagittariusSagittarius,45%,Bad_fit
2745,Libra,Pisces,LibraPisces,88%,Good_fit
2746,Libra,Taurus,LibraTaurus,65%,Bad_fit
2748,Virgo,Pisces,VirgoPisces,88%,Good_fit
2750,Gemini,Scorpio,GeminiScorpio,28%,Bad_fit
2751,Virgo,Leo,VirgoLeo,35%,Bad_fit
2752,Pisces,Aries,PiscesAries,67%,Bad_fit
2753,Pisces,Taurus,PiscesTaurus,85%,Good_fit
2754,Capricorn,Cancer,CapricornCancer,83%,Good_fit
2755,Aquarius,Aries,AquariusAries,78%,Good_fit
2756,Scorpio,Scorpio,ScorpioScorpio,80%,Good_fit
2757,Aries,Taurus,AriesTaurus,38%,Bad_fit
2761,Cancer,Leo,CancerLeo,35%,Bad_fit
2762,Aries,Gemini,AriesGemini,83%,Good_fit
2763,Virgo,Sagittarius,VirgoSagittarius,48%,Bad_fit
2764,Cancer,Cancer,CancerCancer,75%,Good_fit
2765,Aries,Aries,AriesAries,50%,Bad_fit
2766,Pisces,Scorpio,PiscesScorpio,97%,Good_fit
2768,Pisces,Gemini,PiscesGemini,53%,Bad_fit
2769,Cancer,Virgo,CancerVirgo,90%,Good_fit
2770,Gemini,Gemini,GeminiGemini,60%,Bad_fit
2771,Aquarius,Leo,AquariusLeo,68%,Bad_fit
2772,Aries,Aries,AriesAries,50%,Bad_fit
2773,Pisces,Capricorn,PiscesCapricorn,88%,Good_fit
2774,Pisces,Leo,PiscesLeo,38%,Bad_fit
2775,Leo,Leo,LeoLeo,45%,Bad_fit
2776,Virgo,Cancer,VirgoCancer,90%,Good_fit
2777,Cancer,Gemini,CancerGemini,65%,Bad_fit
2778,Sagittarius,Gemini,SagittariusGemini,60%,Bad_fit
2779,Libra,Leo,LibraLeo,97%,Good_fit
2780,Gemini,Aries,GeminiAries,83%,Good_fit
2781,Cancer,Virgo,CancerVirgo,90%,Good_fit
2782,Virgo,Virgo,VirgoVirgo,65%,Bad_fit
2783,Gemini,Capricorn,GeminiCapricorn,69%,Bad_fit
2784,Scorpio,Libra,ScorpioLibra,35%,Bad_fit
2785,Pisces,Aries,PiscesAries,67%,Bad_fit
2786,Capricorn,Aquarius,CapricornAquarius,69%,Bad_fit
2787,Pisces,Aquarius,PiscesAquarius,45%,Bad_fit
2788,Libra,Aquarius,LibraAquarius,90%,Good_fit
2791,Sagittarius,Aquarius,SagittariusAquarius,90%,Good_fit
2793,Cancer,Leo,CancerLeo,35%,Bad_fit
2794,Gemini,Aries,GeminiAries,83%,Good_fit
2796,Leo,Virgo,LeoVirgo,35%,Bad_fit
2797,Sagittarius,Sagittarius,SagittariusSagittarius,45%,Bad_fit
2798,Pisces,Pisces,PiscesPisces,60%,Bad_fit
2800,Scorpio,Virgo,ScorpioVirgo,88%,Good_fit
2801,Aries,Taurus,AriesTaurus,38%,Bad_fit
2802,Capricorn,Cancer,CapricornCancer,83%,Good_fit
2803,Libra,Sagittarius,LibraSagittarius,73%,Good_fit
2804,Aries,Scorpio,AriesScorpio,50%,Bad_fit
2805,Cancer,Aquarius,CancerAquarius,27%,Bad_fit
2806,Pisces,Taurus,PiscesTaurus,85%,Good_fit
2809,Aquarius,Aries,AquariusAries,78%,Good_fit
2810,Pisces,Sagittarius,PiscesSagittarius,63%,Bad_fit
2811,Pisces,Taurus,PiscesTaurus,85%,Good_fit
2812,Scorpio,Scorpio,ScorpioScorpio,80%,Good_fit
2813,Taurus,Taurus,TaurusTaurus,58%,Bad_fit
2814,Taurus,Taurus,TaurusTaurus,58%,Bad_fit
2815,Aries,Gemini,AriesGemini,83%,Good_fit
2816,Sagittarius,Libra,SagittariusLibra,73%,Good_fit
2817,Capricorn,Sagittarius,CapricornSagittarius,60%,Bad_fit
2818,Libra,Aries,LibraAries,85%,Good_fit
2819,Libra,Cancer,LibraCancer,43%,Bad_fit
2820,Pisces,Sagittarius,PiscesSagittarius,63%,Bad_fit
2821,Cancer,Taurus,CancerTaurus,97%,Good_fit
2822,Aquarius,Aries,AquariusAries,78%,Good_fit
2823,Taurus,Virgo,TaurusVirgo,90%,Good_fit
2824,Aries,Scorpio,AriesScorpio,50%,Bad_fit
2825,Leo,Capricorn,LeoCapricorn,35%,Bad_fit
2826,Gemini,Scorpio,GeminiScorpio,28%,Bad_fit
2827,Aries,Cancer,AriesCancer,42%,Bad_fit
2828,Virgo,Virgo,VirgoVirgo,65%,Bad_fit
2829,Scorpio,Scorpio,ScorpioScorpio,80%,Good_fit
2830,Leo,Leo,LeoLeo,45%,Bad_fit
2831,Sagittarius,Leo,SagittariusLeo,93%,Good_fit
2832,Sagittarius,Leo,SagittariusLeo,93%,Good_fit
2834,Aries,Sagittarius,AriesSagittarius,93%,Good_fit
2836,Sagittarius,Gemini,SagittariusGemini,60%,Bad_fit
2837,Pisces,Capricorn,PiscesCapricorn,88%,Good_fit
2838,Cancer,Virgo,CancerVirgo,90%,Good_fit
2839,Sagittarius,Scorpio,SagittariusScorpio,28%,Bad_fit
2840,Taurus,Capricorn,TaurusCapricorn,98%,Good_fit
2841,Pisces,Cancer,PiscesCancer,98%,Good_fit
2844,Gemini,Aries,GeminiAries,83%,Good_fit
2845,Aries,Leo,AriesLeo,97%,Good_fit
2846,Scorpio,Cancer,ScorpioCancer,94%,Good_fit
2847,Leo,Aquarius,LeoAquarius,69%,Bad_fit
2848,Virgo,Leo,VirgoLeo,35%,Bad_fit
2849,Virgo,Aries,VirgoAries,63%,Bad_fit
2850,Gemini,Aries,GeminiAries,83%,Good_fit
2852,Virgo,Leo,VirgoLeo,35%,Bad_fit
2856,Pisces,Aquarius,PiscesAquarius,45%,Bad_fit
2857,Capricorn,Sagittarius,CapricornSagittarius,60%,Bad_fit
2858,Gemini,Capricorn,GeminiCapricorn,69%,Bad_fit
2859,Gemini,Scorpio,GeminiScorpio,28%,Bad_fit
2860,Capricorn,Capricorn,CapricornCapricorn,75%,Good_fit
2861,Leo,Sagittarius,LeoSagittarius,93%,Good_fit
2862,Cancer,Aries,CancerAries,42%,Bad_fit
2863,Pisces,Scorpio,PiscesScorpio,97%,Good_fit
2864,Gemini,Gemini,GeminiGemini,60%,Bad_fit
2865,Cancer,Taurus,CancerTaurus,97%,Good_fit
2866,Aries,Leo,AriesLeo,97%,Good_fit
2868,Taurus,Capricorn,TaurusCapricorn,98%,Good_fit
2870,Leo,Gemini,LeoGemini,88%,Good_fit
2871,Taurus,Aries,TaurusAries,38%,Bad_fit
2872,Gemini,Libra,GeminiLibra,93%,Good_fit
2873,Aries,Capricorn,AriesCapricorn,47%,Bad_fit
2874,Pisces,Sagittarius,PiscesSagittarius,63%,Bad_fit
2875,Sagittarius,Virgo,SagittariusVirgo,48%,Bad_fit
2876,Scorpio,Aries,ScorpioAries,50%,Bad_fit
2877,Capricorn,Gemini,CapricornGemini,68%,Bad_fit
2878,Scorpio,Capricorn,ScorpioCapricorn,95%,Good_fit
2879,Virgo,Libra,VirgoLibra,69%,Bad_fit
2880,Leo,Sagittarius,LeoSagittarius,93%,Good_fit
2881,Scorpio,Sagittarius,ScorpioSagittarius,28%,Bad_fit
2882,Gemini,Leo,GeminiLeo,88%,Good_fit
2883,Aries,Aries,AriesAries,50%,Bad_fit
2884,Aquarius,Aquarius,AquariusAquarius,45%,Bad_fit
2885,Gemini,Capricorn,GeminiCapricorn,69%,Bad_fit
2886,Cancer,Capricorn,CancerCapricorn,83%,Good_fit
2887,Cancer,Pisces,CancerPisces,98%,Good_fit
2888,Capricorn,Capricorn,CapricornCapricorn,75%,Good_fit
2889,Scorpio,Virgo,ScorpioVirgo,88%,Good_fit
2890,Aquarius,Gemini,AquariusGemini,85%,Good_fit
2891,Gemini,Virgo,GeminiVirgo,68%,Bad_fit
2892,Capricorn,Scorpio,CapricornScorpio,95%,Good_fit
2893,Aquarius,Scorpio,AquariusScorpio,73%,Good_fit
2894,Gemini,Aries,GeminiAries,83%,Good_fit
2895,Aries,Aquarius,AriesAquarius,78%,Good_fit
2896,Pisces,Virgo,PiscesVirgo,88%,Good_fit
2897,Pisces,Taurus,PiscesTaurus,85%,Good_fit
2899,Virgo,Virgo,VirgoVirgo,65%,Bad_fit
2900,Leo,Gemini,LeoGemini,88%,Good_fit
2901,Leo,Taurus,LeoTaurus,73%,Good_fit
2902,Gemini,Capricorn,GeminiCapricorn,69%,Bad_fit
2903,Scorpio,Capricorn,ScorpioCapricorn,95%,Good_fit
2904,Libra,Aries,LibraAries,85%,Good_fit
2906,Cancer,Aquarius,CancerAquarius,27%,Bad_fit
2907,Libra,Gemini,LibraGemini,93%,Good_fit
2908,Gemini,Taurus,GeminiTaurus,33%,Bad_fit
2909,Libra,Pisces,LibraPisces,88%,Good_fit
2910,Sagittarius,Pisces,SagittariusPisces,63%,Bad_fit
2911,Capricorn,Scorpio,CapricornScorpio,95%,Good_fit
2912,Gemini,Gemini,GeminiGemini,60%,Bad_fit
2913,Pisces,Gemini,PiscesGemini,53%,Bad_fit
2914,Sagittarius,Scorpio,SagittariusScorpio,28%,Bad_fit
2915,Libra,Scorpio,LibraScorpio,35%,Bad_fit
2916,Sagittarius,Gemini,SagittariusGemini,60%,Bad_fit
2917,Capricorn,Virgo,CapricornVirgo,95%,Good_fit
2918,Sagittarius,Sagittarius,SagittariusSagittarius,45%,Bad_fit
2919,Capricorn,Virgo,CapricornVirgo,95%,Good_fit
2920,Pisces,Cancer,PiscesCancer,98%,Good_fit
2922,Capricorn,Taurus,CapricornTaurus,98%,Good_fit
2923,Leo,Virgo,LeoVirgo,35%,Bad_fit
2924,Leo,Aries,LeoAries,97%,Good_fit
2925,Leo,Leo,LeoLeo,45%,Bad_fit
2926,Aries,Taurus,AriesTaurus,38%,Bad_fit
2927,Capricorn,Taurus,CapricornTaurus,98%,Good_fit
2928,Aries,Virgo,AriesVirgo,63%,Bad_fit
2929,Taurus,Libra,TaurusLibra,65%,Bad_fit
2931,Libra,Aries,LibraAries,85%,Good_fit
2932,Gemini,Libra,GeminiLibra,93%,Good_fit
2933,Cancer,Cancer,CancerCancer,75%,Good_fit
2934,Virgo,Sagittarius,VirgoSagittarius,48%,Bad_fit
2936,Gemini,Taurus,GeminiTaurus,33%,Bad_fit
2937,Aries,Gemini,AriesGemini,83%,Good_fit
2938,Libra,Aquarius,LibraAquarius,90%,Good_fit
2939,Leo,Virgo,LeoVirgo,35%,Bad_fit
2940,Sagittarius,Capricorn,SagittariusCapricorn,60%,Bad_fit
2941,Aries,Cancer,AriesCancer,42%,Bad_fit
