,Zod_sign_man,Zod_sign_woman,zod_combo,Compatibility_rate,Compatibility
361,Capricorn,Taurus,CapricornTaurus,98%,Good_fit
362,Aquarius,Leo,AquariusLeo,68%,Bad_fit
363,Gemini,Leo,GeminiLeo,88%,Good_fit
364,Virgo,Aquarius,VirgoAquarius,30%,Bad_fit
365,Sagittarius,Cancer,SagittariusCancer,53%,Bad_fit
366,Libra,Aquarius,LibraAquarius,90%,Good_fit
367,Aries,Aquarius,AriesAquarius,78%,Good_fit
368,Scorpio,Aquarius,ScorpioAquarius,73%,Good_fit
369,Scorpio,Virgo,ScorpioVirgo,88%,Good_fit
370,Sagittarius,Cancer,SagittariusCancer,53%,Bad_fit
371,Taurus,Virgo,TaurusVirgo,90%,Good_fit
372,Pisces,Virgo,PiscesVirgo,88%,Good_fit
373,Scorpio,Virgo,ScorpioVirgo,88%,Good_fit
374,Sagittarius,Leo,SagittariusLeo,93%,Good_fit
375,Aries,Libra,AriesLibra,85%,Good_fit
376,Taurus,Pisces,TaurusPisces,85%,Good_fit
377,Taurus,Leo,TaurusLeo,73%,Good_fit
379,Taurus,Libra,TaurusLibra,65%,Bad_fit
380,Aquarius,Libra,AquariusLibra,90%,Good_fit
381,Taurus,Cancer,TaurusCancer,97%,Good_fit
382,Aquarius,Aquarius,AquariusAquarius,45%,Bad_fit
383,Capricorn,Aries,CapricornAries,47%,Bad_fit
384,Scorpio,Pisces,ScorpioPisces,97%,Good_fit
385,Aries,Gemini,AriesGemini,83%,Good_fit
386,Taurus,Capricorn,TaurusCapricorn,98%,Good_fit
387,Libra,Scorpio,LibraScorpio,35%,Bad_fit
388,Pisces,Taurus,PiscesTaurus,85%,Good_fit
390,Sagittarius,Virgo,SagittariusVirgo,48%,Bad_fit
391,Aries,Aquarius,AriesAquarius,78%,Good_fit
392,Taurus,Aries,TaurusAries,38%,Bad_fit
393,Aquarius,Aquarius,AquariusAquarius,45%,Bad_fit
394,Capricorn,Sagittarius,CapricornSagittarius,60%,Bad_fit
395,Gemini,Libra,GeminiLibra,93%,Good_fit
396,Libra,Capricorn,LibraCapricorn,55%,Bad_fit
397,Sagittarius,Aries,SagittariusAries,93%,Good_fit
398,Libra,Cancer,LibraCancer,43%,Bad_fit
399,Taurus,Aries,TaurusAries,38%,Bad_fit
400,Aries,Gemini,AriesGemini,83%,Good_fit
404,Leo,Virgo,LeoVirgo,35%,Bad_fit
405,Aries,Capricorn,AriesCapricorn,47%,Bad_fit
406,Aries,Cancer,AriesCancer,42%,Bad_fit
407,Libra,Pisces,LibraPisces,88%,Good_fit
408,Pisces,Aries,PiscesAries,67%,Bad_fit
409,Leo,Pisces,LeoPisces,38%,Bad_fit
410,Aquarius,Pisces,AquariusPisces,45%,Bad_fit
411,Libra,Gemini,LibraGemini,93%,Good_fit
412,Aries,Taurus,AriesTaurus,38%,Bad_fit
413,Aquarius,Gemini,AquariusGemini,85%,Good_fit
414,Pisces,Cancer,PiscesCancer,98%,Good_fit
415,Capricorn,Sagittarius,CapricornSagittarius,60%,Bad_fit
416,Aquarius,Libra,AquariusLibra,90%,Good_fit
417,Scorpio,Pisces,ScorpioPisces,97%,Good_fit
418,Pisces,Pisces,PiscesPisces,60%,Bad_fit
419,Taurus,Sagittarius,TaurusSagittarius,30%,Bad_fit
420,Leo,Capricorn,LeoCapricorn,35%,Bad_fit
422,Cancer,Taurus,CancerTaurus,97%,Good_fit
423,Taurus,Libra,TaurusLibra,65%,Bad_fit
424,Libra,Sagittarius,LibraSagittarius,73%,Good_fit
425,Leo,Pisces,LeoPisces,38%,Bad_fit
426,Sagittarius,Scorpio,SagittariusScorpio,28%,Bad_fit
427,Aries,Leo,AriesLeo,97%,Good_fit
428,Cancer,Gemini,CancerGemini,65%,Bad_fit
429,Virgo,Aries,VirgoAries,63%,Bad_fit
430,Aries,Capricorn,AriesCapricorn,47%,Bad_fit
431,Gemini,Libra,GeminiLibra,93%,Good_fit
432,Leo,Pisces,LeoPisces,38%,Bad_fit
433,Aquarius,Sagittarius,AquariusSagittarius,90%,Good_fit
434,Scorpio,Sagittarius,ScorpioSagittarius,28%,Bad_fit
435,Capricorn,Leo,CapricornLeo,35%,Bad_fit
436,Sagittarius,Taurus,SagittariusTaurus,30%,Bad_fit
437,Cancer,Cancer,CancerCancer,75%,Good_fit
438,Pisces,Aries,PiscesAries,67%,Bad_fit
440,Sagittarius,Cancer,SagittariusCancer,53%,Bad_fit
441,Leo,Aquarius,LeoAquarius,69%,Bad_fit
442,Scorpio,Sagittarius,ScorpioSagittarius,28%,Bad_fit
